ds,predicted_total_posts,predicted_total_posts_lower,predicted_total_posts_upper,actual_total_posts,predicted_vague_ratio,predicted_vague_ratio_lower,predicted_vague_ratio_upper,actual_vague_ratio,total_posts_difference,vague_ratio_difference,period
2020-10-28,138.12757724896005,123.61172779212843,151.146724203846,98,0.16267202592746194,0.12574334214636224,0.20160851459122325,0.2755102040816326,-40.12757724896005,0.11283817815417069,After NSL
2020-10-29,142.48093117911907,128.32386859624646,155.42957056386408,101,0.17437166986609526,0.13729666897881335,0.215535753713441,0.2079207920792079,-41.48093117911907,0.03354912221311265,After NSL
2020-10-30,145.1939401329852,131.4674574453878,158.64506008317338,103,0.152609310002172,0.11588996491396365,0.19072626092329056,0.1941747572815534,-42.193940132985205,0.041565447279381385,After NSL
2020-10-31,146.97109896319958,133.17547054439152,161.43607088960965,106,0.14841796103872057,0.108668418634948,0.18596584807084404,0.2169811320754717,-40.97109896319958,0.06856317103675114,After NSL
2020-11-01,141.9997229937909,127.9960638656791,155.57265250390643,99,0.15460030831875504,0.11518397322532081,0.18970974775821967,0.1919191919191919,-42.9997229937909,0.037318883600436864,After NSL
2020-11-02,140.10910353189314,125.98384050242721,153.9614823230792,109,0.15492245378704958,0.11834993940376701,0.19350601289276181,0.22018348623853212,-31.10910353189314,0.06526103245148254,After NSL
2020-11-03,145.81233630472855,132.12686837892866,160.11930046273082,84,0.15383852254924624,0.11492536675547226,0.19195006449711188,0.23809523809523808,-61.81233630472855,0.08425671554599184,After NSL
2020-11-04,143.7478154895035,130.04033227936,156.71943662382202,81,0.15344982902678508,0.11546535051415624,0.1930999312541694,0.32098765432098764,-62.747815489503495,0.16753782529420255,After NSL
2020-11-05,146.80342196164767,133.40436937221477,160.54697354812538,109,0.1636639107825485,0.12508725811465343,0.20243886715644055,0.1926605504587156,-37.80342196164767,0.028996639676167113,After NSL
2020-11-06,148.0696798883914,134.63422344567118,161.81334700254146,94,0.14068143718518508,0.10192239379922767,0.17924625086978382,0.26595744680851063,-54.06967988839139,0.12527600962332555,After NSL
2020-11-07,148.28748240258383,134.48780977025115,162.04331506230594,90,0.1355745337016668,0.09745394840094655,0.17406175031882676,0.25555555555555554,-58.287482402583834,0.11998102185388873,After NSL
2020-11-08,141.6837921546149,128.141421429101,155.7718241043981,101,0.14117718265509388,0.10243436680260867,0.17803429142248947,0.26732673267326734,-40.683792154614906,0.12614955001817346,After NSL
2020-11-09,138.1297957420984,123.70786110130004,151.79389332301483,98,0.14127799292177567,0.10073972464006202,0.18188660065026793,0.30612244897959184,-40.129795742098395,0.16484445605781617,After NSL
2020-11-10,142.1816713039594,127.71917318166315,156.40016680761408,105,0.14034405768639724,0.1012302289639417,0.17992307317851244,0.19047619047619047,-37.181671303959405,0.05013213278979323,After NSL
2020-11-11,138.5209892695323,124.89626480237389,152.85528799614357,99,0.1404796221189601,0.10083649131997481,0.17945869991851143,0.16161616161616163,-39.52098926953229,0.02113653949720154,After NSL
2020-11-12,140.0778029827049,126.02989896154232,153.94647204638258,87,0.15158488530924247,0.11262042233959493,0.19039009705829227,0.22988505747126436,-53.077802982704895,0.0783001721620219,After NSL
2020-11-13,139.9827314585784,125.84955888138644,153.80794958358757,105,0.12984295277788982,0.09311794983574774,0.16802773279586736,0.23809523809523808,-34.9827314585784,0.10825228531734826,After NSL
2020-11-14,139.01366244052772,125.84203315541328,154.1808910812241,91,0.12629848209637895,0.08499266430827535,0.1636527062534603,0.16483516483516483,-48.013662440527725,0.03853668273878588,After NSL
2020-11-15,131.43050757947643,117.22342732029324,144.99599648036943,109,0.1337486766824143,0.09535610806084129,0.17228897045715189,0.1743119266055046,-22.430507579476426,0.040563249923090294,After NSL
